movie_id,genre_id
1226863,10751
1226863,35
1226863,12
1226863,14
1226863,16
83533,878
83533,12
83533,14
687163,878
687163,12
1290417,27
1290417,53
1327819,16
1327819,10751
1327819,878
1327819,35
1327819,12
502356,10751
502356,35
502356,12
502356,14
502356,16
1290821,28
1290821,80
1290821,53
840464,12
840464,53
840464,878
1171145,80
1171145,53
20222,35
20222,10749
1297842,16
1297842,35
1297842,10751
1159559,27
1159559,9648
1159559,80
1311031,16
1311031,28
1311031,14
1198994,27
1198994,53
1198994,35
1049471,35
1049471,18
1265609,28
1265609,878
1265609,53
680493,9648
680493,18
680493,27
1010755,27
1010755,53
1084242,16
1084242,10751
1084242,9648
1084242,12
1084242,35
1193501,27
1193501,9648
1084187,10402
1084187,53
1084187,28
1084187,27
1159831,878
1159831,27
1159831,14
1368166,9648
1368166,53
350,18
350,35
1419406,28
1419406,80
1419406,18
1419406,53
755898,878
755898,53
1266127,27
1266127,35
1115544,35
1115544,878
1115544,80
1234731,12
1234731,35
1234731,27
634649,28
634649,12
634649,878
1316092,10749
1316092,18
77338,18
77338,35
157336,12
157336,18
157336,878
7451,28
7451,12
7451,53
7451,80
7451,18
1367642,10749
1367642,18
615,18
24428,878
24428,28
24428,12
875828,80
875828,18
1272837,27
1272837,53
1272837,878
1168190,28
1168190,35
1168190,80
1168190,9648
1272837,27
1272837,53
1272837,878
181808,12
181808,28
181808,878
1242898,28
1242898,878
1242898,12
299536,12
299536,28
299536,878
278,18
278,80
803796,14
803796,10402
803796,35
803796,16
425274,80
425274,53
238,18
238,80
50619,12
50619,14
50619,10749
1010581,18
1010581,10749
1010581,53
1246049,27
1246049,14
1246049,10749
1234821,878
1234821,12
1234821,28
324857,16
324857,28
324857,12
324857,878
1408208,27
1408208,9648
1117857,16
1117857,10751
1117857,35
1117857,12
1117857,14
19995,878
19995,28
19995,12
1387382,28
1387382,18
1387382,53
315635,28
315635,12
315635,878
299534,12
299534,878
299534,28
1226863,10751
1226863,35
1226863,12
1226863,14
1226863,16
83533,878
83533,12
83533,14
687163,878
687163,12
1290417,27
1290417,53
496243,35
496243,53
496243,18
744275,18
744275,10749
155,28
155,80
155,53
1011985,16
1011985,10751
1011985,28
1011985,35
1011985,12
1011985,14
76600,28
76600,12
76600,878
597,18
597,10749
533535,28
533535,35
533535,878
567609,27
567609,35
1119449,878
1119449,28
1119449,35
496243,35
496243,53
496243,18
744275,18
744275,10749
155,28
155,80
155,53
1011985,16
1011985,10751
1011985,28
1011985,35
1011985,12
1011985,14
76600,28
76600,12
76600,878
597,18
597,10749
533535,28
533535,35
533535,878
567609,27
567609,35
402431,18
402431,10749
402431,14
677638,16
677638,12
677638,10751
677638,35
677638,10770
1241470,878
1241470,28
1241470,27
991494,16
991494,10751
991494,35
991494,12
991494,14
1306368,28
1306368,53
1306368,80
858024,18
858024,10749
858024,36
680,53
680,80
680,35
129,16
129,10751
129,14
27205,28
27205,878
27205,12
120,12
120,14
120,28
911430,28
911430,18
346364,27
346364,53
346364,18
911430,28
911430,18
129,16
129,10751
129,14
402431,18
402431,10749
402431,14
603,28
603,878
122,12
122,14
122,28
1167307,16
1167307,10751
1167307,18
1167307,10402
1054867,53
1054867,80
1054867,35
671,12
671,14
14836,16
14836,10751
14836,14
38,878
38,18
38,10749
13,35
13,18
13,10749
1218925,16
1218925,28
1218925,10749
1218925,14
1291608,28
1291608,80
1291608,53
1241982,16
1241982,12
1241982,10751
1241982,35
1241982,14
569094,16
569094,28
569094,12
569094,878
361743,28
361743,18
372058,16
372058,10749
372058,18
424,18
424,36
424,10752
519182,10751
519182,35
519182,16
519182,878
519182,28
1228246,27
1228246,53
1015606,99
497,14
497,18
497,80
550,18
550,53
335984,878
335984,18
1156594,10749
1156594,18
1184918,10751
1184918,16
1184918,878
1184918,12
10138,12
10138,28
10138,878
872585,18
872585,36
1038392,27
1062722,18
1062722,14
1062722,27
62029,35
798645,28
798645,53
798645,878
807,80
807,9648
807,53
769,18
769,80
575265,28
575265,53
575265,12
912649,878
912649,28
912649,12
346698,35
346698,12
1314786,18
1314786,53
1726,28
1726,878
1726,12
807,80
807,9648
807,53
808,16
808,35
808,14
808,12
808,10751
105,12
105,35
105,878
693134,878
693134,12
557,28
557,878
1292695,28
1292695,27
1292695,35
1038392,27
1448560,28
1448560,53
67395,28
67395,53
102382,28
102382,12
102382,878
939243,28
939243,878
939243,35
939243,10751
1196067,878
1196067,28
1196067,27
240,18
240,80
1087192,14
1087192,10751
1087192,28
1087192,12
346698,35
346698,12
769,18
769,80
552524,10751
552524,878
552524,35
1317288,18
1317288,53
438631,878
438631,12
269149,16
269149,12
269149,10751
269149,35
862,10751
862,35
862,16
862,12
4935,14
4935,16
4935,12
617126,878
617126,12
617126,28
1579,28
1579,18
1579,36
1197306,28
1197306,80
1197306,53
552524,10751
552524,878
552524,35
429617,28
429617,12
429617,878
438631,878
438631,12
102382,28
102382,12
102382,878
574475,27
574475,9648
269149,16
269149,12
269149,10751
269149,35
67395,28
67395,53
980477,16
980477,14
980477,12
564,12
564,28
564,14
7131,27
7131,12
7131,28
1292695,28
1292695,27
1292695,35
85,12
85,28
950396,10749
950396,878
950396,53
766507,53
766507,28
766507,878
11,12
11,28
11,878
670,18
670,53
670,9648
670,28
559,28
559,12
559,878
1480382,18
11324,18
11324,53
11324,9648
560016,28
560016,53
541671,28
541671,53
541671,80
337404,35
337404,80
337404,18
106646,80
106646,18
106646,35
585,16
585,35
585,10751
210577,9648
210577,53
210577,18
672,12
672,14
101,80
101,18
101,28
674,12
674,14
150540,16
150540,10751
150540,12
150540,18
150540,35
76341,28
76341,12
76341,878
429,37
8966,14
8966,18
8966,10749
646380,35
646380,878
646380,18
12153,35
12153,80
1214931,36
1214931,18
122917,28
122917,12
122917,14
414906,80
414906,9648
414906,53
396535,27
396535,53
396535,28
396535,12
216015,18
216015,10749
216015,53
1175942,10751
1175942,35
1175942,80
1175942,12
1175942,16
1175942,10751
1175942,35
1175942,80
1175942,12
1175942,16
696393,27
696393,878
696393,35
348,27
348,878
533533,878
533533,12
533533,28
441168,18
441168,10770
378236,16
378236,10751
378236,35
111,28
111,80
111,18
177572,12
177572,10751
177572,16
177572,28
177572,35
673,12
673,14
12445,12
12445,14
330457,10751
330457,16
330457,12
330457,35
330457,14
1930,28
1930,12
1930,878
933260,27
933260,878
933260,18
68721,28
68721,12
68721,878
98,28
98,18
98,12
1357633,28
1357633,12
1357633,14
1357633,16
354912,10751
354912,16
354912,10402
354912,12
604079,878
604079,53
604079,27
1156593,18
1156593,10749
475557,80
475557,53
475557,18
107257,18
107257,10749
1223601,28
1223601,10752
293660,28
293660,12
293660,35
72190,28
72190,27
72190,878
72190,53
259694,35
259694,10749
214756,35
214756,14
389,18
1284120,27
1284120,35
1284120,18
524047,28
524047,12
524047,53
524047,878
324786,18
324786,36
324786,10752
218,28
218,53
218,878
762509,12
762509,10751
762509,16
767,12
767,14
1197137,27
1197137,53
3558,18
156022,53
156022,28
156022,80
411,12
411,10751
411,14
207,18
385687,28
385687,80
385687,53
359410,28
359410,53
359410,18
1621,35
22,12
22,14
22,28
109445,16
109445,10751
109445,12
109445,14
58,12
58,14
